Date,MSFT,AAPL,AMZN,SP 500
1/31/13,27.45,16.27,265.5,149.7
2/1/13,27.93,16.2,265,151.24
2/4/13,27.44,15.8,259.98,149.54
2/5/13,27.5,16.35,266.89,151.05
2/6/13,27.34,16.33,262.22,151.16
2/7/13,27.28,16.72,260.23,150.96
2/8/13,27.55,16.96,261.95,151.8
2/11/13,27.86,17.14,257.21,151.77
2/12/13,27.88,16.71,258.7,152.02
2/13/13,28.03,16.68,269.47,152.15
2/14/13,28.04,16.66,269.24,152.29
2/15/13,28.01,16.43,265.09,152.11
2/19/13,28.05,16.43,269.75,153.25
2/20/13,27.87,16.03,266.41,151.34
2/21/13,27.49,15.93,265.94,150.42
2/22/13,27.76,16.1,265.42,151.89
2/25/13,27.37,15.81,259.87,149
2/26/13,27.37,16.03,259.36,150.02
2/27/13,27.81,15.88,263.25,151.91
2/28/13,27.8,15.76,264.27,151.61
3/1/13,27.95,15.37,265.74,152.11
3/4/13,28.15,15,273.11,152.92
3/5/13,28.35,15.4,275.59,154.29
3/6/13,28.09,15.2,273.79,154.5
3/7/13,28.14,15.38,273.88,154.78
3/8/13,28,15.42,274.19,155.44
3/11/13,27.87,15.64,271.24,156.03
3/12/13,27.91,15.3,274.13,155.68
3/13/13,27.92,15.3,275.1,155.91
3/14/13,28.14,15.45,265.74,156.73
3/15/13,28.04,15.85,261.82,155.83
3/18/13,28.1,16.28,257.89,154.97
3/19/13,28.18,16.23,256.41,154.61
3/20/13,28.32,16.15,257.28,155.69
3/21/13,28.11,16.17,253.39,154.36
3/22/13,28.25,16.5,257.75,155.6
3/25/13,28.16,16.56,256.02,154.95
3/26/13,28.16,16.47,260.31,156.19
3/27/13,28.37,16.15,265.3,156.19
3/28/13,28.61,15.81,266.49,156.67
4/1/13,28.61,15.32,261.61,156.05
4/2/13,28.8,15.35,263.32,156.82
4/3/13,28.56,15.43,259.03,155.23
4/4/13,28.6,15.28,259.08,155.86
4/5/13,28.7,15.11,255.48,155.16
4/8/13,28.59,15.22,258.95,156.21
4/9/13,29.61,15.25,261.14,156.75
4/10/13,30.28,15.56,264.77,158.67
4/11/13,28.94,15.51,269.85,159.19
4/12/13,28.79,15.35,272.87,158.8
4/15/13,28.69,14.99,267.72,155.12
4/16/13,28.97,15.22,272.34,157.41
4/17/13,28.83,14.39,267.4,155.11
4/18/13,28.79,14,259.42,154.14
4/19/13,29.77,13.95,260.32,155.48
4/22/13,30.83,14.24,263.55,156.17
4/23/13,30.6,14.5,268.9,157.78
4/24/13,31.76,14.48,268.78,157.88
4/25/13,31.94,14.59,274.7,158.52
4/26/13,31.79,14.9,254.81,158.24
4/29/13,32.61,15.36,249.74,159.3
4/30/13,33.1,15.81,253.81,159.68
5/1/13,32.72,15.69,248.23,158.28
5/2/13,33.16,15.91,252.55,159.75
5/3/13,33.49,16.07,258.05,161.37
5/6/13,33.75,16.45,255.72,161.78
5/7/13,33.31,16.38,257.73,162.6
5/8/13,32.99,16.57,258.68,163.34
5/9/13,32.66,16.31,260.16,162.88
5/10/13,32.69,16.18,263.63,163.41
5/13/13,33.03,16.24,264.51,163.54
5/14/13,33.53,15.85,268.33,165.23
5/15/13,33.85,15.32,266.56,166.12
5/16/13,34.08,15.52,264.12,165.34
5/17/13,34.87,15.47,269.9,166.94
5/20/13,35.08,15.82,267.63,166.93
5/21/13,34.85,15.7,268.86,167.17
5/22/13,34.61,15.76,262.96,165.93
5/23/13,34.15,15.79,261.8,165.45
5/24/13,34.27,15.9,261.74,165.31
5/28/13,35.02,15.77,267.29,166.3
